,index,Id,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice,split
329,334,2846,909131125,190,RH,3887.2650874637384,7082,Pave,NA,3,Lvl,3,Inside,2,SWISU,Norm,Norm,2fmCon,2Story,5,8,1916,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,PConc,4,4,3,2,0.0,2,0.0,686.0,686.0,GasA,3,Y,3.0,948,980,0,1928,0.0,0.0,2,0,5,2,2,10,7,0,0,NA,1980.0,0,0.0,0.0,0,0,0,0,0,228,0,0,0,0,0,NA,0,7,2006,WD ,160000.0,Train
330,335,493,528292070,60,RL,4805.753212342684,8755,Pave,NA,2,Lvl,3,FR2,2,Gilbert,RRNn,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,298.0,3,2,PConc,5,4,2,6,772.0,2,0.0,220.0,992.0,GasA,4,Y,3.0,1022,1038,0,2060,1.0,0.0,2,1,3,1,3,8,7,1,4,BuiltIn,1999.0,3,2.0,390.0,2,2,2,0,0,0,168,0,0,0,4,NA,0,6,2009,WD ,214000.0,Train
331,336,694,902103100,50,RM,68.0,4080,Pave,Grvl,3,Lvl,3,Inside,2,OldTown,Norm,Norm,1Fam,1.5Fin,6,8,1935,1998,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,PConc,4,4,2,2,0.0,2,0.0,901.0,901.0,GasA,3,Y,3.0,861,517,0,1378,0.0,0.0,1,0,3,1,3,6,7,0,0,Detchd,1920.0,3,1.0,162.0,1,1,1,54,0,40,0,0,0,0,0,NA,0,6,2009,WD ,128900.0,Train
332,337,2283,923205025,190,RL,17821.602862450294,32463,Pave,NA,3,Low,3,Inside,1,Mitchel,Norm,Norm,2fmCon,1Story,4,4,1961,1975,Gable,CompShg,MetalSd,MetalSd,Stone,149.0,2,3,CBlock,4,4,3,5,1159.0,2,0.0,90.0,1249.0,GasA,4,Y,3.0,1622,0,0,1622,1.0,0.0,1,0,3,1,2,7,7,1,4,2Types,1975.0,4,4.0,1356.0,2,2,2,439,0,0,0,0,0,0,0,NA,0,3,2007,WD ,168000.0,Train
333,339,1632,527182040,120,RL,2028.328571719501,3696,Pave,NA,3,Lvl,3,Inside,2,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1986,1986,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,2,CBlock,5,4,2,2,0.0,2,0.0,1074.0,1074.0,GasA,4,Y,3.0,1088,0,0,1088,0.0,0.0,1,1,2,1,3,5,7,0,0,Attchd,1987.0,3,2.0,461.0,2,2,2,0,74,137,0,0,0,0,0,NA,0,10,2007,WD ,170000.0,Train
334,340,2624,535453160,20,RL,70.0,7560,Pave,NA,3,Lvl,3,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,2,2,CBlock,4,4,2,3,369.0,2,0.0,671.0,1040.0,GasA,2,Y,2.0,1040,0,0,1040,0.0,0.0,1,0,3,1,2,6,7,0,0,Attchd,1959.0,3,1.0,286.0,2,2,2,140,0,252,0,0,0,0,2,NA,0,7,2006,WD ,133700.0,Train
335,341,2197,909250150,70,RL,55.0,10592,Pave,NA,3,Lvl,3,Inside,2,Crawfor,Norm,Norm,1Fam,2Story,6,7,1923,1996,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,3,PConc,4,3,2,2,0.0,2,0.0,602.0,602.0,GasA,2,Y,3.0,900,602,0,1502,0.0,0.0,1,1,3,1,3,7,7,2,4,Detchd,1923.0,3,1.0,180.0,2,2,2,96,0,112,0,53,0,0,0,NA,0,8,2007,WD ,165000.0,Train
336,342,1045,527451400,160,RM,21.0,1680,Pave,NA,3,Lvl,3,Inside,2,BrDale,Norm,Norm,TwnhsE,2Story,6,3,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,604.0,2,2,CBlock,4,4,2,6,358.0,2,0.0,125.0,483.0,GasA,2,Y,3.0,483,504,0,987,0.0,0.0,1,1,2,1,2,5,7,0,0,Detchd,1971.0,3,1.0,264.0,2,2,2,0,0,0,0,0,0,0,0,NA,0,8,2008,WD ,89500.0,Train
337,343,2549,534427090,190,RL,75.0,10382,Pave,NA,3,Lvl,3,Inside,2,NAmes,Norm,Norm,2fmCon,SLvl,6,5,1958,1958,Hip,CompShg,HdBoard,HdBoard,BrkFace,105.0,2,1,CBlock,4,4,4,6,513.0,2,0.0,75.0,588.0,GasA,2,Y,3.0,1095,0,0,1095,1.0,0.0,1,0,2,1,2,6,7,0,0,Attchd,1958.0,3,1.0,264.0,2,2,2,0,0,0,0,0,0,0,0,NA,0,3,2006,ConLD,140000.0,Train
338,344,2829,908188110,160,RM,24.0,2522,Pave,NA,3,Lvl,3,Inside,2,Edwards,Norm,Norm,Twnhs,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Stone,50.0,3,2,PConc,5,4,2,2,0.0,2,0.0,970.0,970.0,GasA,4,Y,3.0,970,739,0,1709,0.0,0.0,2,0,3,1,3,7,3,0,0,Detchd,2004.0,3,2.0,380.0,2,2,2,0,40,0,0,0,0,0,0,NA,0,5,2006,WD ,134000.0,Train
339,345,2480,531451290,60,RL,70.0,9370,Pave,NA,1,Lvl,3,Inside,2,SawyerW,Norm,Norm,1Fam,2Story,6,5,1992,1993,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,2,PConc,5,4,2,6,758.0,2,0.0,78.0,836.0,GasA,4,Y,3.0,844,887,0,1731,1.0,0.0,2,1,3,1,3,7,7,0,0,Attchd,1992.0,3,2.0,462.0,2,2,2,307,85,0,0,224,0,0,0,Othr,3000,10,2006,WD ,248500.0,Train
340,346,2724,905200490,80,RL,5624.322126983752,10246,Pave,NA,2,Lvl,3,CulDSac,2,Sawyer,Norm,Norm,1Fam,SLvl,4,9,1965,2001,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,3,CBlock,4,5,3,7,648.0,2,0.0,0.0,648.0,GasA,4,Y,3.0,960,0,0,960,1.0,1.0,0,0,0,1,2,3,7,0,0,Attchd,1965.0,3,1.0,364.0,2,2,2,88,0,0,0,0,0,0,0,NA,0,5,2006,WD ,145000.0,Train
341,347,2352,527356060,60,RL,85.0,11475,Pave,NA,3,Lvl,3,Inside,2,NWAmes,RRAn,Norm,1Fam,2Story,6,6,1975,1975,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,CBlock,5,4,2,6,550.0,2,0.0,163.0,713.0,GasA,2,Y,3.0,811,741,0,1552,1.0,0.0,2,1,3,1,2,6,7,1,4,Attchd,1975.0,3,2.0,434.0,2,2,2,209,208,0,0,0,0,0,3,NA,0,2,2006,WD ,179900.0,Train
342,348,1783,528431110,20,RL,75.0,9986,Pave,NA,3,Lvl,3,Inside,2,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,428.0,3,2,PConc,6,4,3,2,0.0,2,0.0,1795.0,1795.0,GasA,4,Y,3.0,1795,0,0,1795,0.0,0.0,2,0,2,1,3,7,7,1,5,Attchd,2007.0,3,3.0,895.0,2,2,2,0,49,0,0,0,0,0,0,NA,0,2,2007,New,147000.0,Train
343,349,338,923426070,60,RL,63.0,10475,Pave,NA,3,Lvl,3,Inside,2,Mitchel,Norm,Norm,1Fam,2Story,5,5,1991,1991,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,2,PConc,5,4,2,4,458.0,2,0.0,166.0,624.0,GasA,3,Y,3.0,624,650,0,1274,0.0,0.0,1,1,3,1,2,6,7,0,0,Detchd,1993.0,3,2.0,576.0,2,2,2,22,0,0,0,0,0,0,2,NA,0,3,2010,WD ,136000.0,Train
344,350,196,903227020,50,RM,50.0,6000,Pave,NA,3,Lvl,3,Inside,2,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1940,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,3,CBlock,4,4,2,3,264.0,2,0.0,308.0,572.0,GasA,4,Y,2.0,848,348,0,1196,0.0,1.0,1,1,3,1,2,6,7,2,5,Detchd,1973.0,3,2.0,576.0,2,2,2,0,0,0,0,0,0,0,0,NA,0,3,2010,WD ,128000.0,Train
345,351,762,904100190,20,RL,50.0,4280,Pave,NA,2,Lvl,3,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,4,9,1946,2001,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,3,CBlock,3,4,2,2,0.0,2,0.0,560.0,560.0,GasA,4,Y,2.0,704,0,0,704,0.0,1.0,1,0,2,1,1,4,7,0,0,CarPort,1946.0,3,1.0,220.0,2,2,2,0,0,24,0,0,0,0,0,NA,0,9,2009,WD ,88750.0,Train
346,352,151,535302200,20,RL,119.0,10895,Pave,NA,3,Lvl,3,Corner,2,NAmes,Norm,Norm,1Fam,1Story,5,6,1955,1955,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,3,CBlock,4,4,2,4,648.0,2,0.0,324.0,972.0,GasA,2,Y,3.0,972,0,0,972,0.0,0.0,1,0,3,1,2,5,7,0,0,Attchd,1955.0,3,1.0,305.0,2,2,2,0,0,205,0,0,0,0,2,NA,0,6,2010,WD ,122500.0,Train
347,353,158,535353190,50,RL,78.0,17503,Pave,NA,3,Lvl,3,Inside,2,NAmes,Artery,Norm,1Fam,1.5Fin,6,5,1948,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,CBlock,4,4,2,2,0.0,2,0.0,912.0,912.0,GasA,2,Y,3.0,912,546,0,1458,0.0,1.0,1,0,3,1,2,6,7,1,5,Attchd,1948.0,3,1.0,330.0,2,2,2,192,0,0,0,0,0,0,0,NA,0,1,2010,WD ,97500.0,Train
348,354,2572,535151080,20,RL,109.0,9723,Pave,NA,2,Lvl,3,Corner,2,NAmes,Norm,Norm,1Fam,1Story,6,7,1963,1963,Hip,CompShg,MetalSd,MetalSd,BrkFace,332.0,2,2,CBlock,4,4,2,2,0.0,2,0.0,1008.0,1008.0,GasA,2,Y,3.0,1008,0,0,1008,0.0,0.0,1,0,2,1,2,5,7,0,0,Attchd,1963.0,3,2.0,430.0,2,2,2,0,0,0,0,0,0,0,0,NA,0,10,2006,WD ,135000.0,Train
349,355,1686,528102090,20,RL,90.0,11694,Pave,NA,3,Lvl,3,Inside,2,NridgHt,Norm,Norm,1Fam,1Story,9,5,2007,2007,Hip,CompShg,CemntBd,CmentBd,BrkFace,452.0,4,2,PConc,6,4,3,7,48.0,2,0.0,1774.0,1822.0,GasA,4,Y,3.0,1828,0,0,1828,0.0,0.0,2,0,3,1,3,9,7,1,5,Attchd,2007.0,3,3.0,774.0,2,2,2,0,108,0,0,260,0,0,0,NA,0,7,2007,New,314813.0,Train
350,356,943,911103050,50,C (all),105.0,8470,Pave,NA,2,Lvl,3,Corner,2,IDOTRR,Feedr,Feedr,1Fam,1.5Fin,3,2,1915,1982,Hip,CompShg,Plywood,Plywood,None,0.0,1,1,CBlock,4,3,2,2,0.0,2,0.0,1013.0,1013.0,GasA,2,N,3.0,1013,0,513,1526,0.0,0.0,1,0,2,1,1,6,7,0,0,NA,1980.0,0,0.0,0.0,0,0,0,0,0,156,0,0,0,0,3,NA,0,10,2009,ConLD,85000.0,Train
351,357,735,903226170,50,RM,50.0,6000,Pave,NA,3,Lvl,3,Inside,2,BrkSide,Norm,Norm,1Fam,1.5Fin,6,9,1937,2000,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,2,BrkTil,4,4,2,2,0.0,2,0.0,698.0,698.0,GasA,2,Y,3.0,786,390,0,1176,0.0,0.0,1,0,2,1,2,4,7,0,0,Detchd,1999.0,3,2.0,624.0,2,2,0,210,0,0,0,0,0,0,0,NA,0,7,2009,WD ,134900.0,Train
352,358,2741,905451410,20,RL,70.0,10519,Pave,NA,3,Lvl,3,Inside,2,Edwards,Norm,Norm,1Fam,1Story,5,8,1955,1999,Hip,CompShg,MetalSd,MetalSd,Stone,164.0,2,2,CBlock,4,4,3,2,0.0,2,0.0,1057.0,1057.0,GasA,3,Y,3.0,1057,0,0,1057,0.0,1.0,1,0,3,1,3,6,7,0,0,Attchd,1955.0,3,1.0,288.0,2,2,2,0,0,0,0,0,0,0,0,NA,0,3,2006,WD ,137000.0,Train
353,359,1106,528363110,20,RL,91.0,10437,Pave,NA,2,Lvl,3,Inside,2,NoRidge,Norm,Norm,1Fam,1Story,8,6,1995,1995,Hip,CompShg,MetalSd,MetalSd,BrkFace,660.0,3,3,PConc,5,4,4,7,1696.0,2,0.0,413.0,2109.0,GasA,4,Y,3.0,2113,0,0,2113,1.0,0.0,2,1,2,1,3,7,7,1,4,Attchd,1995.0,4,3.0,839.0,2,2,2,236,46,0,0,0,0,0,0,NA,0,8,2008,WD ,350000.0,Train
354,360,2375,527452290,20,RL,65.0,7514,Pave,NA,3,Lvl,3,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,7,1967,1975,Hip,CompShg,MetalSd,MetalSd,None,0.0,2,2,CBlock,4,4,3,6,373.0,4,108.0,462.0,943.0,GasA,2,Y,3.0,1387,0,0,1387,1.0,0.0,1,0,3,1,2,6,7,1,4,Attchd,1974.0,3,1.0,300.0,2,2,2,0,0,240,0,0,0,0,0,NA,0,9,2006,WD ,145000.0,Train
355,361,1701,528118040,60,RL,118.0,13654,Pave,NA,2,Lvl,3,CulDSac,2,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Gable,CompShg,MetalSd,MetalSd,BrkFace,365.0,3,2,PConc,6,4,4,2,0.0,2,0.0,1704.0,1704.0,GasA,4,Y,3.0,1722,1036,0,2758,0.0,0.0,2,1,4,1,4,9,7,1,6,BuiltIn,2005.0,4,3.0,814.0,2,2,2,282,55,0,0,0,0,0,0,NA,0,5,2007,WD ,418000.0,Train
356,362,2657,902207110,30,RM,48.0,5747,Pave,NA,3,Lvl,3,Inside,2,OldTown,Norm,Norm,1Fam,1Story,3,4,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,PConc,4,4,2,2,0.0,2,0.0,798.0,798.0,GasA,3,Y,3.0,840,0,0,840,0.0,0.0,1,0,2,1,1,5,7,0,0,Detchd,1938.0,3,1.0,250.0,2,1,0,112,0,0,0,0,0,0,0,NA,0,6,2006,WD ,64000.0,Train
357,363,907,909129100,50,RH,55.0,4500,Pave,Pave,1,Bnk,3,Inside,2,SWISU,Norm,Norm,1Fam,1.5Fin,5,5,1932,2000,Gable,CompShg,VinylSd,Stucco,None,0.0,2,2,BrkTil,4,4,2,4,182.0,2,0.0,611.0,793.0,GasA,4,Y,3.0,848,672,0,1520,0.0,0.0,1,0,3,1,2,6,7,0,0,Detchd,1968.0,3,1.0,281.0,2,2,2,0,0,56,0,0,0,0,0,NA,0,7,2009,WD ,159434.0,Train
358,364,1777,528427100,20,RL,91.0,11830,Pave,NA,3,Lvl,3,Inside,2,Somerst,Feedr,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,164.0,3,2,PConc,5,4,2,7,1220.0,2,0.0,322.0,1542.0,GasA,4,Y,3.0,1542,0,0,1542,1.0,0.0,2,0,3,1,3,6,7,1,5,Attchd,2007.0,3,3.0,852.0,2,2,2,168,110,0,0,0,0,0,0,NA,0,7,2007,New,260261.0,Train
359,365,164,535454070,50,RL,71.0,8520,Pave,NA,3,Lvl,3,Corner,2,NAmes,Artery,Norm,1Fam,1.5Fin,5,4,1952,1952,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,2,1,CBlock,4,4,2,4,507.0,2,0.0,403.0,910.0,GasA,1,Y,3.0,910,475,0,1385,0.0,0.0,2,0,4,1,2,6,7,0,0,Detchd,2000.0,3,2.0,720.0,2,2,2,0,0,0,0,0,0,0,3,NA,0,6,2010,WD ,166000.0,Train
360,366,1973,535478040,85,RL,66.0,6760,Pave,NA,3,Lvl,3,Inside,2,NAmes,Norm,Norm,1Fam,SFoyer,5,5,1962,1962,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,2,CBlock,4,4,3,6,734.0,2,0.0,162.0,896.0,GasA,2,Y,3.0,936,0,0,936,1.0,0.0,1,0,3,1,2,6,7,1,2,Attchd,1962.0,3,1.0,288.0,2,2,2,24,90,160,0,0,0,0,0,NA,0,10,2007,WD ,130000.0,Train
361,367,2857,909256020,50,RL,51.0,6191,Pave,NA,3,Lvl,3,Corner,2,SWISU,Norm,Norm,1Fam,1.5Fin,5,4,1941,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,CBlock,3,3,2,3,384.0,2,0.0,440.0,824.0,GasA,2,N,3.0,824,464,0,1288,0.0,0.0,1,0,4,1,2,6,7,0,0,Detchd,1941.0,3,1.0,240.0,2,2,2,0,0,0,0,0,0,0,0,NA,0,11,2006,WD ,112000.0,Train
362,368,1208,534400030,20,RL,80.0,8700,Pave,NA,3,Lvl,3,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,6,1963,1963,Hip,CompShg,MetalSd,MetalSd,BrkFace,148.0,2,3,CBlock,4,4,3,6,776.0,2,0.0,344.0,1120.0,GasA,3,Y,3.0,1128,0,0,1128,1.0,0.0,2,0,3,1,2,6,7,0,0,Attchd,1963.0,3,2.0,525.0,2,2,2,192,20,123,0,0,0,0,3,NA,0,12,2008,WD ,155000.0,Train
363,369,319,916386090,60,RL,92.0,12003,Pave,NA,3,Lvl,3,Corner,2,Timber,Norm,Norm,1Fam,2Story,8,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,BrkFace,84.0,3,2,PConc,6,4,2,2,0.0,2,0.0,774.0,774.0,GasA,4,Y,3.0,774,1194,0,1968,0.0,0.0,2,1,4,1,4,8,7,1,5,BuiltIn,2009.0,4,3.0,680.0,2,2,2,0,75,0,0,0,0,0,0,NA,0,5,2010,New,269500.0,Train
364,370,2567,535103070,80,RL,6971.584445246113,12700,Pave,NA,2,Lvl,3,Inside,2,NAmes,Norm,Norm,1Fam,SLvl,6,5,1964,1964,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,2,CBlock,4,4,2,6,939.0,2,0.0,307.0,1246.0,GasA,2,Y,3.0,1246,0,0,1246,1.0,0.0,1,0,3,1,2,6,7,2,5,Attchd,1964.0,3,2.0,441.0,2,2,2,0,69,0,0,0,0,0,0,NA,0,11,2006,WD ,172000.0,Train
365,371,2222,909425270,70,RL,75.0,13125,Pave,NA,3,Lvl,3,Inside,2,Crawfor,Norm,Norm,1Fam,2Story,7,6,1940,1984,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,CBlock,4,4,2,5,410.0,2,0.0,390.0,800.0,GasA,2,Y,3.0,960,780,0,1740,0.0,0.0,1,1,3,1,2,6,7,2,5,Attchd,1940.0,3,1.0,240.0,2,2,2,0,0,0,0,0,0,0,0,NA,0,7,2007,CWD,219500.0,Train
366,372,2493,532376250,20,RL,4741.51943433262,8638,Pave,NA,2,Lvl,3,Inside,2,Sawyer,RRAe,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,2,PConc,4,4,2,6,181.0,2,0.0,744.0,925.0,GasA,3,Y,3.0,925,0,0,925,1.0,0.0,1,0,2,1,2,5,7,0,0,Detchd,1990.0,3,2.0,484.0,2,2,2,203,74,0,0,0,0,0,0,NA,0,10,2006,WD ,133500.0,Train
367,373,1757,528280150,80,RL,76.0,9967,Pave,NA,2,Lvl,3,Inside,2,Gilbert,Norm,Norm,1Fam,SLvl,7,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,PConc,5,4,2,2,0.0,2,0.0,384.0,384.0,GasA,4,Y,3.0,774,656,0,1430,0.0,0.0,2,1,3,1,2,8,7,1,4,BuiltIn,2000.0,3,2.0,400.0,2,2,2,100,0,0,0,0,0,0,0,NA,0,12,2007,WD ,170000.0,Train
368,374,184,902305110,70,RM,60.0,9600,Pave,Grvl,3,Lvl,3,Corner,2,OldTown,Norm,Norm,1Fam,2Story,8,9,1900,2003,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,4,4,2,2,0.0,2,0.0,930.0,930.0,GasW,2,N,3.0,930,636,0,1566,0.0,0.0,2,0,3,1,3,7,7,0,0,Detchd,1930.0,3,1.0,288.0,2,2,2,54,228,246,0,0,0,0,0,NA,0,4,2010,WD ,150000.0,Train
369,375,1248,535302140,20,RL,7012.210937320855,12774,Pave,NA,3,Lvl,3,Inside,0,NAmes,Norm,Norm,1Fam,1Story,5,5,1953,1953,Hip,CompShg,MetalSd,MetalSd,None,0.0,2,2,PConc,4,4,2,5,624.0,3,128.0,232.0,984.0,GasW,2,N,3.0,950,0,0,950,0.0,0.0,1,0,2,1,2,5,7,0,0,Detchd,1953.0,3,2.0,400.0,2,2,2,0,32,0,0,0,0,0,2,NA,0,7,2008,WD ,130000.0,Train
370,376,2574,535152070,80,RL,70.0,8163,Pave,NA,3,Lvl,3,Inside,2,NAmes,Norm,Norm,1Fam,SLvl,5,6,1959,1959,Gable,CompShg,HdBoard,HdBoard,BrkFace,128.0,2,3,CBlock,4,4,3,6,748.0,5,294.0,102.0,1144.0,GasA,2,Y,3.0,1144,0,0,1144,1.0,0.0,1,0,3,1,2,6,7,1,4,Attchd,1959.0,3,1.0,796.0,2,2,2,86,0,0,0,0,0,0,0,NA,0,3,2006,WD ,143000.0,Train
371,377,1215,534403260,20,RL,90.0,9900,Pave,NA,3,Lvl,3,Corner,2,NAmes,Norm,Norm,1Fam,1Story,5,5,1961,1961,Gable,CompShg,Plywood,Plywood,None,0.0,2,3,CBlock,4,4,2,2,0.0,2,0.0,1114.0,1114.0,GasA,2,Y,3.0,1114,0,0,1114,1.0,0.0,1,0,3,1,2,5,7,0,0,Attchd,1961.0,3,2.0,451.0,2,2,2,0,0,0,0,164,0,0,0,NA,0,5,2008,COD,140000.0,Train
372,378,1614,526355170,20,RL,95.0,13651,Pave,NA,2,Lvl,3,Inside,2,NAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Gable,CompShg,Plywood,Plywood,BrkFace,1115.0,2,3,CBlock,5,4,4,6,1880.0,2,0.0,343.0,2223.0,GasA,4,Y,3.0,2223,0,0,2223,1.0,0.0,2,0,3,1,2,8,7,2,5,Attchd,1973.0,4,2.0,516.0,2,2,2,300,0,0,0,0,0,0,0,NA,0,2,2007,WD ,244000.0,Train
373,379,2039,903458020,75,RM,60.0,7200,Pave,NA,3,Lvl,3,Inside,2,IDOTRR,Norm,Norm,1Fam,2.5Unf,5,7,1920,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,2,BrkTil,4,3,2,2,0.0,2,0.0,530.0,530.0,GasA,2,N,3.0,581,530,0,1111,0.0,0.0,1,0,3,1,1,6,7,0,0,Detchd,1935.0,3,1.0,288.0,2,2,0,0,0,144,0,0,0,0,0,NA,0,3,2007,WD ,101000.0,Train
374,380,2669,902406030,20,RM,65.0,9750,Pave,Grvl,3,Lvl,3,Inside,2,OldTown,Norm,Norm,1Fam,1Story,5,5,1958,1958,Hip,CompShg,HdBoard,HdBoard,None,0.0,2,2,CBlock,4,4,2,2,0.0,2,0.0,960.0,960.0,GasA,4,Y,3.0,960,0,0,960,0.0,0.0,1,0,3,1,2,5,7,0,0,Detchd,2002.0,3,2.0,624.0,2,2,2,0,0,0,0,0,0,0,0,Gar2,4500,7,2006,WD ,125000.0,Train
375,381,1005,527162180,60,RL,73.0,11184,Pave,NA,2,Lvl,3,Corner,2,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,PConc,5,4,2,2,0.0,2,0.0,932.0,932.0,GasA,3,Y,3.0,932,701,0,1633,0.0,0.0,2,1,3,1,2,7,7,1,4,Attchd,1998.0,4,2.0,460.0,2,2,2,0,39,0,0,0,0,0,0,NA,0,4,2008,WD ,183000.0,Train
376,382,753,903430060,75,RM,92.0,5520,Pave,NA,3,Lvl,3,Corner,2,OldTown,Norm,Norm,1Fam,2.5Fin,6,6,1912,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,CBlock,4,4,2,2,0.0,2,0.0,755.0,755.0,GasA,4,Y,3.0,929,929,371,2229,0.0,0.0,1,0,5,1,2,8,7,0,0,NA,1980.0,0,0.0,0.0,0,0,2,0,198,30,0,0,0,0,3,NA,0,7,2009,WD ,104000.0,Train
377,383,1275,535455060,45,RL,64.0,6390,Pave,NA,3,Lvl,3,Corner,2,NAmes,Feedr,Norm,1Fam,1.5Unf,6,7,1954,1954,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,2,CBlock,4,4,2,2,0.0,2,0.0,936.0,936.0,GasA,2,Y,2.0,984,0,0,984,1.0,0.0,1,0,2,1,2,4,7,0,0,Detchd,1954.0,3,1.0,280.0,2,2,2,0,0,0,0,0,0,0,2,NA,0,6,2008,WD ,112500.0,Train
378,384,2350,527355280,20,RL,79.0,10240,Pave,NA,3,Lvl,3,Inside,2,NWAmes,Norm,Norm,1Fam,1Story,6,6,1980,1980,Gable,CompShg,Plywood,Plywood,BrkFace,157.0,2,3,CBlock,5,4,2,5,625.0,3,1061.0,0.0,1686.0,GasA,2,Y,3.0,1686,0,0,1686,1.0,0.0,2,0,3,1,2,7,7,1,4,Attchd,1980.0,3,2.0,612.0,2,2,2,384,131,0,0,0,0,0,0,NA,0,5,2006,WD ,207500.0,Train
379,385,2762,906394040,20,RL,78.0,9316,Pave,NA,3,Lvl,3,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,140.0,3,2,PConc,5,4,4,7,56.0,2,0.0,1558.0,1614.0,GasA,4,Y,3.0,1614,0,0,1614,0.0,0.0,2,0,3,1,3,7,7,1,5,Attchd,2005.0,4,2.0,576.0,2,2,2,100,45,0,0,0,0,0,0,NA,0,3,2006,WD ,225000.0,Train
380,386,2788,907227090,20,RL,60.0,7200,Pave,NA,3,Low,3,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,5,8,1972,1972,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,CBlock,4,4,2,5,437.0,2,0.0,427.0,864.0,GasA,4,Y,3.0,864,0,0,864,0.0,0.0,1,0,3,1,2,5,7,0,0,Detchd,1977.0,3,1.0,297.0,2,2,2,0,0,0,0,0,0,0,3,NA,0,3,2006,WD ,119900.0,Train
